"Table","Plan","CurrentInteractiveDays","CurrentTotalDays","TargetInteractiveDays","TargetTotalDays","Source","Status"
"addsmonitoring_CL","Analytics","31","31","-","-","N/A","Report Only"
"AppExceptions","Analytics","90","90","-","-","N/A","Report Only"
"AppMetrics","Analytics","90","90","-","-","N/A","Report Only"
"AppPerformanceCounters","Analytics","90","90","-","-","N/A","Report Only"
"AppRequests","Analytics","90","90","-","-","N/A","Report Only"
"AppSystemEvents","Analytics","90","90","-","-","N/A","Report Only"
"AppTraces","Analytics","90","90","-","-","N/A","Report Only"
"Discovery_CL","Analytics","31","31","-","-","N/A","Report Only"
"DiscoveryResults_CL","Analytics","31","31","-","-","N/A","Report Only"
"Heartbeat","Analytics","30","30","-","-","N/A","Report Only"
"InsightsMetrics","Analytics","30","30","-","-","N/A","Report Only"
"NginxLogs_CL","Analytics","31","31","-","-","N/A","Report Only"
"Perf","Analytics","30","30","-","-","N/A","Report Only"
"Syslog","Analytics","30","30","-","-","N/A","Report Only"
"Usage","Analytics","90","90","-","-","N/A","Report Only"
